"user_id","company","title","industry","location","description","startdate","enddate"
"7080603734729390722","__________","_______________","","","","",""
"8765645241011550845",".","Accounts executive","","Mumbai","","2017-09-01",""
"-5287960181303075112","-","Bid writing\, remote educational project work\, distance learning tutoring or other work from home","","","","2020-09-01",""
"-6312025348585095597","-","Director","","","","",""
"4746069832526144556","-","DONA Trained Doula","","Greater San Diego Area","DONA Trained Doula - working to get my DONA Certification.","2019-01-01",""
"-5100834889407227526","-","Systems Analyst","","","","",""
"5893954552302944608","","Currently exploring new ventures","","","","2020-04-01",""
"-5120549023068977523","-","Free-lance qualitative researcher (senior level)","","Évreux Area\, France","On- and off-line focus groups\, IDIs\, ethnography\, documentary research\, creativity sessions\, strategic planning... in a variety of sectors\, for France and other countries","2019-09-01",""
"511758639748697803","?","Barsel","","","","",""
"-4500546153880576272","'---","'---","","","","",""
"-6601526785703518585","/","/","","","","",""
"3619764555262208290","----","carrossier peinture auto","","Gace\, France","","1995-09-01","2011-07-01"
"3669507196257417438",".","Polish President Election Campaign Coordinator in Denmark","","","Coordinator for Polish President Election Campaign for Polish citizens in Denmark. Strict cooperation with main campaign office. Recruiting volunteers to support the campaign Administrator for Campaign Website. Social media management. Coordination of Campaign Projects. Cooperation with Coordinators from 25+ countries\, ( Zoom meetings)","2020-02-01","2020-07-01"
"-1868062370502932720",".","Concepteur ETL chez SFR","","Nanterre\, France","Maintenance évolutive et corrective d’une plate-forme ETL Informatica au sein du projet CRM Grand Public (SI Fixe et Convergence). Alimentation du portail SFR MonCompte\, du Datawarehouse SFR et de l’application CRM SIEBEL-ARAMIS.","2011-07-01","2012-11-01"
"5781546565835689478","--","Advisor","","San Francisco\, CA","","2020-05-01",""
"203148804119241074","...","...","","","","",""
"-4063402053088083288","-","Stage-Australia","","Sydney\, Australia","- Improve my English and learn new cultures and traditions.","2020-03-01","2020-08-01"
"-6124173196736891062","*","*","","","","1988-01-01","2006-01-01"
"-6568068441813567959","-","Investigator","","","","2015-08-01",""
"4423684118298301776","-","Civil Engineer","","","","",""
"-7313832663603480147","??","Capacity Planner","","","?","2013-03-01",""
"-8323207563833468628",".","medical assistant","","","","",""
"-553026324545399017","-","Mutterschaftskarenz\, 2 Kinder","","Budapest\, Hungary","Fortsetzung der wissenschaftlichen Arbeit\, Fertigstellung der Ph.D. Dissertation\, Promotion","2005-10-01","2010-09-01"
"-5762694106383427852","","Attorney At Law","","","","2019-09-01","2020-01-01"
"-3919861730277548560","_","Healthcare Manager","","","","2019-05-01",""
"-2657515420541804692","...\,\,","House Manager","","","","2015-10-01",""
"-5610350560100808243","/","/","","","","",""
"6815558361580713984",".",".","","Brussels\, Belgium","","2018-01-01",""
"8090933989526814517",".","Consultant","","Leeds\, United Kingdom","• Business development and Account Direction. • Client management. • Research and development of suppliers. • Process assessment and implementation. • Project management improvements.","2011-10-01","2012-05-01"
"5904130886630195707","..","Conseillère en insertion professionnelle","","","","2020-10-01",""
"-7087578151778580426",".","Private Banker","","Rosenheim\, Germany","","2019-10-01",""
"5554953718117133446","-","Club verloop als speelster","","","Heerenveen (Eredivisie/BeNe League vrouwen - vroegtijdig gestopt) - 2013 t/m 2013 Telstar (Eredivisie/BeNe League vrouwen) - 2011 t/m 2013 Willem II (Eredivisie vrouwen) - 2010 t/m 2011 AZ (Stage plaats\, AZ vrouwen) - 2007 t/m 2010 Kolping Boys (3e divisie jongens) - 2006 t/m 2010 Hugo Boys (2e klas jongens) - 1996 t/m 2006","1996-01-01","2013-01-01"
"-1691195402346371828",".","Orlov med min datter","","","","1997-01-01","1999-01-01"
"-9083231641051230151","...","Ang.","","","","",""
"-7800910181340667676",".","Self employed Consultant","","","","2007-10-01","2010-07-01"
"-3922369916486719394","","Enginyer de Camins\, C. i P.","","","","2016-06-01",""
"-484637125035290146","-","-","","","","",""
"6225695906147232071","-","-","","","","1996-01-01",""
"-7196335230626494028","-","Under udddannelse som industrioperatør","","","","2019-04-01",""
"7433181714473516601","()","Project Manager","","Birmingham\, United Kingdom","","2018-01-01",""
"5856828096543009539","*","Personal Assistant To The President","","","","2015-09-01",""
"1865015556061024893",".\,","Forex broker","","","","",""
"7377777680442767048","**","Agent de Photographes et Stylistes","","","","2002-01-01","2008-01-01"
"795548205368684195","","Looking for something in West Wales....","","","","2019-08-01",""
"-3778385799787103447","---","----","","","","2002-01-01",""
"-6587940195935678634",".","Maternity leave","","","","2012-05-01","2013-09-01"
"-5855706342274437242","-","Arquitecto","","","Todo tipo de trabajos de Arquitectura y Project Management","2003-09-01",""
"1947632875344566617",".",".","","","","2017-03-01","2017-05-01"
"5100970343750710674","--","Composer & Musical Director - The Winter's Tale","","","Composed original music\, played piano and led a seven-piece band for my school's production of The Winter's Tale by Shakespeare.","2015-10-01","2015-11-01"
"-7890156097856181444","-","-","","","","2018-04-01",""
"6598372116001177959","-","fresh mechanical engineer & aviation engineer","","","","2014-09-01","2014-09-01"
"7034744325510569498","...........",".........","","","","",""
"-835426933072618165","\"","Bank STRATEGY","","","1 st Deputy of Chairman of the Board","2011-12-01",""
"4039552595643399691","-","Sabbatical","","","","2018-02-01","2018-08-01"
"5218486469694475653",".","En recherche d activités","","","","2019-09-01",""
"-3902209577413788216","","RETRAITÉ","","","","",""
"-2822666307533468433","...","None","","","","2017-01-01",""
"5556782613834543229","-","DokuDias - Portrætter fortalt i lyd og billeder","","","DokuDias er fotodokumentar til nettet. Mine arbejdsområder er: - Idéudvikling - Tilrettelægning - Fotografering - Redigering (Final Cut Pro) (Hindenburg og Soundslides) Se det seneste eksempel - et portræt af formanden for Danmarks fiskehandlere:","2012-08-01","2013-05-01"
"-330307239223392063",".","Master of education","","Abha\, Saudi Arabia","","2019-02-01",""
"-2561160386061996409","-","Freelance SW Developer / Team Leader / Architect","","","C#/.Net","2011-08-01",""
"-7669859914414136824","..","مدير تنفيذي","","","","",""
"3840180530026476295","-","Profesor de inglés","","Buenos Aires\, Argentina","Clases particulares de inglés\, preparación para exámenes internacionales\, clases orales conversacionales.","2014-07-01","2019-03-01"
"-3311485761607324994","-","Dipl-Phys.-Ing.","","","","",""
"-4291498032471024962","...","secrétaire polyvalente","","","","",""
"-7087476265136198140","-","Freelance Interior Designer","","","","2019-01-01",""
"-448452206921111523","-","Traductor de inglés","","","","",""
"195618634583685314",".....","....","","","","",""
"5848136926715391441","-","Gestor Banca Premier","","","","2018-01-01",""
"5029246422683940604",".","Orthophoniste","","","","2015-08-01",""
"102003660934895668","...","Vertrieb und Marketing","","","","1999-01-01","2003-01-01"
"409295570787176450","-","Specialista della formazione","","","","2003-01-01",""
"3984476564139540977",".......","Senior Practice Consultant","","","","2018-05-01","2018-05-01"
